Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1980","1980","1000 ha","43000","A","Official figure",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1981","1981","1000 ha","989","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1981","1981","1000 ha","16","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1981","1981","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1982","1982","1000 ha","994","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1982","1982","1000 ha","16","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1982","1982","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1983","1983","1000 ha","999","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1983","1983","1000 ha","16","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1983","1983","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1984","1984","1000 ha","1004","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1984","1984","1000 ha","16","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1984","1984","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1985","1985","1000 ha","1009","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1985","1985","1000 ha","16","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1985","1985","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1986","1986","1000 ha","1014","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1986","1986","1000 ha","16","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1986","1986","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1987","1987","1000 ha","1018","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1987","1987","1000 ha","17","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1987","1987","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1988","1988","1000 ha","1021","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1988","1988","1000 ha","18","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1988","1988","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1989","1989","1000 ha","1021","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1989","1989","1000 ha","19","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1989","1989","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1990","1990","1000 ha","1022","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1990","1990","1000 ha","20","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1990","1990","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1991","1991","1000 ha","1022","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1991","1991","1000 ha","20","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1991","1991","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1992","1992","1000 ha","1023","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1992","1992","1000 ha","20","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1992","1992","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1993","1993","1000 ha","1024","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1993","1993","1000 ha","20","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1993","1993","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1994","1994","1000 ha","1030","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1994","1994","1000 ha","20","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1994","1994","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1995","1995","1000 ha","1035","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1995","1995","1000 ha","21","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1995","1995","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1996","1996","1000 ha","1039","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1996","1996","1000 ha","22","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1996","1996","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1997","1997","1000 ha","1043","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1997","1997","1000 ha","23","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1997","1997","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1998","1998","1000 ha","1043","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1998","1998","1000 ha","24","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1998","1998","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","1999","1999","1000 ha","1043","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","1999","1999","1000 ha","24","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","1999","1999","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2000","2000","1000 ha","1043","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2000","2000","1000 ha","24","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2000","2000","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2001","2001","1000 ha","1045","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2001","2001","1000 ha","26","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2001","2001","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2002","2002","1000 ha","1064","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2002","2002","1000 ha","26","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2002","2002","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2003","2003","1000 ha","1083","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2003","2003","1000 ha","26","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2003","2003","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2004","2004","1000 ha","1130","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2004","2004","1000 ha","27","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2004","2004","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2005","2005","1000 ha","1100","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2005","2005","1000 ha","26","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2005","2005","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2006","2006","1000 ha","1050","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2006","2006","1000 ha","26","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2006","2006","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2007","2007","1000 ha","1000","I","Imputed value",""
