Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1994","1994","1000 ha","4812","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1994","1994","1000 ha","675","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1994","1994","1000 ha","8299","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1995","1995","1000 ha","4799","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1995","1995","1000 ha","703","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1995","1995","1000 ha","8287","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1996","1996","1000 ha","4739","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1996","1996","1000 ha","731","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1996","1996","1000 ha","8320","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1997","1997","1000 ha","4771","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1997","1997","1000 ha","750","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1997","1997","1000 ha","8283","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1998","1998","1000 ha","4709","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1998","1998","1000 ha","775","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1998","1998","1000 ha","8270","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","1999","1999","1000 ha","4701","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","1999","1999","1000 ha","801","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","1999","1999","1000 ha","8265","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2000","2000","1000 ha","4542","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2000","2000","1000 ha","810","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2000","2000","1000 ha","8359","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2001","2001","1000 ha","4635","A","Official figure",""
