Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Thailand","Area harvested","Bananas","1966","ha","125000"
"Crops and livestock products","Thailand","Yield","Bananas","1966","100 g/ha","101920"
"Crops and livestock products","Thailand","Area harvested","Bananas","1967","ha","125000"
"Crops and livestock products","Thailand","Yield","Bananas","1967","100 g/ha","96000"
"Crops and livestock products","Thailand","Area harvested","Bananas","1968","ha","125000"
"Crops and livestock products","Thailand","Yield","Bananas","1968","100 g/ha","96000"
"Crops and livestock products","Thailand","Area harvested","Bananas","1969","ha","125000"
"Crops and livestock products","Thailand","Yield","Bananas","1969","100 g/ha","96000"
"Crops and livestock products","Thailand","Area harvested","Bananas","1970","ha","125000"
"Crops and livestock products","Thailand","Yield","Bananas","1970","100 g/ha","96000"
"Crops and livestock products","Thailand","Area harvested","Bananas","1971","ha","125000"
"Crops and livestock products","Thailand","Yield","Bananas","1971","100 g/ha","96000"
"Crops and livestock products","Thailand","Area harvested","Bananas","1972","ha","125000"
"Crops and livestock products","Thailand","Yield","Bananas","1972","100 g/ha","96000"
"Crops and livestock products","Thailand","Area harvested","Bananas","1973","ha","125000"
"Crops and livestock products","Thailand","Yield","Bananas","1973","100 g/ha","100000"
"Crops and livestock products","Thailand","Area harvested","Bananas","1974","ha","125000"
"Crops and livestock products","Thailand","Yield","Bananas","1974","100 g/ha","104000"
"Crops and livestock products","Thailand","Area harvested","Bananas","1975","ha","125000"
"Crops and livestock products","Thailand","Yield","Bananas","1975","100 g/ha","104000"
"Crops and livestock products","Thailand","Area harvested","Bananas","1976","ha","125000"
"Crops and livestock products","Thailand","Yield","Bananas","1976","100 g/ha","112000"
"Crops and livestock products","Thailand","Area harvested","Bananas","1977","ha","125000"
"Crops and livestock products","Thailand","Yield","Bananas","1977","100 g/ha","120000"
"Crops and livestock products","Thailand","Area harvested","Bananas","1978","ha","125000"
"Crops and livestock products","Thailand","Yield","Bananas","1978","100 g/ha","116000"
"Crops and livestock products","Thailand","Area harvested","Bananas","1979","ha","125000"
"Crops and livestock products","Thailand","Yield","Bananas","1979","100 g/ha","120000"
"Crops and livestock products","Thailand","Area harvested","Bananas","1980","ha","130000"
"Crops and livestock products","Thailand","Yield","Bananas","1980","100 g/ha","119231"
"Crops and livestock products","Thailand","Area harvested","Bananas","1981","ha","130000"
"Crops and livestock products","Thailand","Yield","Bananas","1981","100 g/ha","123077"
"Crops and livestock products","Thailand","Area harvested","Bananas","1982","ha","130000"
"Crops and livestock products","Thailand","Yield","Bananas","1982","100 g/ha","119231"
"Crops and livestock products","Thailand","Area harvested","Bananas","1983","ha","130000"
"Crops and livestock products","Thailand","Yield","Bananas","1983","100 g/ha","117692"
"Crops and livestock products","Thailand","Area harvested","Bananas","1984","ha","130000"
"Crops and livestock products","Thailand","Yield","Bananas","1984","100 g/ha","118846"
"Crops and livestock products","Thailand","Area harvested","Bananas","1985","ha","130000"
"Crops and livestock products","Thailand","Yield","Bananas","1985","100 g/ha","121538"
"Crops and livestock products","Thailand","Area harvested","Bananas","1986","ha","130000"
"Crops and livestock products","Thailand","Yield","Bananas","1986","100 g/ha","122785"
